hanja,kor,radical,radical_name,stroke_count,level,rep_pron
成,이룰 성,戈,창 과,7,61,성
姓,성 성,女,계집 녀,8,71,성
性,성품 성,心,마음 심,8,51,성
省,살필 성|덜 생,目,눈 목,9,61,성
星,별 성,日,날 일,9,41,성
城,재 성,土,흙 토,10,41,성
盛,성할 성,皿,그릇 명,12,41,성
聖,성인 성,耳,귀 이,13,41,성
誠,정성 성,言,말씀 언,14,41,성
聲,소리 성,耳,귀 이,17,41,성
世,인간 세,一,한 일,5,71,세
洗,씻을 세,水,물 수,9,51,세
細,가늘 세,糸,실 사|가는실 멱,11,41,세
稅,세금 세,禾,벼 화,12,41,세
歲,해 세,止,그칠 지,13,51,세
勢,형세 세,力,힘 력,13,41,세
小,작을 소,小,작을 소,3,80,소
少,적을 소,小,작을 소,4,70,소
召,부를 소,口,입 구,5,30,소
所,바 소,戶,집 호,8,70,소
昭,밝을 소,日,날 일,9,30,소
消,사라질 소,水,물 수,10,61,소
笑,웃음 소,竹,대 죽,10,41,소
素,본디/흴 소,糸,실 사|가는실 멱,10,41,소
掃,쓸 소,手,손 수,11,41,소
訴,호소할 소,言,말씀 언,12,31,소
疏,소통할 소,疋,짝 필,12,31,소
蔬,나물 소,艸,풀 초,16,30,소
燒,사를 소,火,불 화,16,31,소
騷,떠들 소,馬,말 마,20,30,소
蘇,되살아날 소,艸,풀 초,20,31,소
束,묶을 속,木,나무 목,7,51,속
俗,풍속 속,人,사람 인,9,41,속
速,빠를 속,辵,쉬엄쉬엄갈 착,11,60,속
粟,조 속,米,쌀 미,12,30,속
屬,붙일 속,尸,주검 시,21,40,속
續,이을 속,糸,실 사|가는실 멱,21,41,속
孫,손자 손,子,아들 자,10,60,손
損,덜 손,手,손 수,13,40,손
松,소나무 송,木,나무 목,8,40,송
送,보낼 송,辵,쉬엄쉬엄갈 착,10,41,송
訟,송사할 송,言,말씀 언,11,31,송
頌,기릴/칭송할 송,頁,머리 혈,13,40,송
誦,욀 송,言,말씀 언,14,30,송
刷,인쇄할 쇄,刀,칼 도,8,31,쇄
鎖,쇠사슬 쇄,金,쇠 금|성 김,18,31,쇄
衰,쇠할 쇠,衣,옷 의,10,31,쇠
水,물 수,水,물 수,4,80,수
手,손 수,手,손 수,4,71,수
囚,가둘 수,囗,에워쌀 위|나라 국,5,30,수
守,지킬 수,宀,집 면,6,41,수
收,거둘 수,攴,칠 복,6,41,수
秀,빼어날 수,禾,벼 화,7,40,수
垂,드리울 수,土,흙 토,8,31,수
受,받을 수,又,또 우,8,41,수
首,머리 수,首,머리 수,9,51,수
帥,장수 수,巾,수건 건,9,31,수
殊,다를 수,歹,뼈앙상할 알|나쁠 대,10,31,수
修,닦을 수,人,사람 인,10,41,수
授,줄 수,手,손 수,11,41,수
須,모름지기 수,頁,머리 혈,12,30,수
搜,찾을 수,手,손 수,12,30,수
睡,졸음 수,目,눈 목,13,30,수
遂,드디어 수,辵,쉬엄쉬엄갈 착,13,30,수
愁,근심 수,心,마음 심,13,31,수
壽,목숨 수,士,선비 사,14,31,수
需,쓰일/쓸 수,雨,비 우,14,31,수
數,셈 수,攴,칠 복,15,70,수
誰,누구 수,言,말씀 언,15,30,수
樹,나무 수,木,나무 목,16,60,수
輸,보낼 수,車,수레 거/차,16,31,수
隨,따를 수,阜,언덕 부,16,31,수
雖,비록 수,隹,새 추,17,30,수
獸,짐승 수,犬,개 견,19,31,수
叔,아재비 숙,又,또 우,8,40,숙
宿,잘 숙|별자리 수,宀,집 면,11,51,숙
孰,누구 숙,子,아들 자,11,30,숙
淑,맑을 숙,水,물 수,11,31,숙
肅,엄숙할 숙,聿,붓 율,13,40,숙
熟,익을 숙,火,불 화,15,31,숙
旬,열흘 순,日,날 일,6,31,순
巡,돌/순행할 순,巛,내 천,7,31,순
殉,따라죽을 순,歹,뼈앙상할 알|나쁠 대,10,30,순
純,순수할 순,糸,실 사|가는실 멱,10,41,순
脣,입술 순,肉,고기 육,11,30,순
順,순할 순,頁,머리 혈,12,51,순
循,돌 순,彳,조금걸을 척,12,30,순
瞬,눈깜짝일 순,目,눈 목,17,31,순
戌,개 술,戈,창 과,6,30,술
述,펼 술,辵,쉬엄쉬엄갈 착,9,31,술
術,재주 술,行,다닐 행|항렬 항,11,61,술
崇,높을 숭,山,메 산,11,40,숭
拾,주울 습|열 십,手,손 수,9,31,습
習,익힐 습,羽,깃 우,11,60,습
濕,젖을 습,水,물 수,17,31,습
襲,엄습할 습,衣,옷 의,22,31,습
昇,오를 승,日,날 일,8,31,승
承,이을 승,手,손 수,8,41,승
乘,탈 승,丿,삐침 별,10,31,승
勝,이길 승,力,힘 력,12,60,승
僧,중 승,人,사람 인,14,31,승
市,저자 시,巾,수건 건,5,71,시
示,보일 시,示,보일 시,5,50,시
矢,화살 시,矢,화살 시,5,30,시
始,비로소 시,女,계집 녀,8,61,시
侍,모실 시,人,사람 인,8,31,시
施,베풀 시,方,모 방,9,41,시
是,이/옳을 시,日,날 일,9,41,시
時,때 시,日,날 일,10,71,시
視,볼 시,見,볼 견|뵈올 현,12,41,시
詩,시 시,言,말씀 언,13,41,시
試,시험 시,言,말씀 언,13,41,시
式,법 식,弋,주살 익,6,60,식
食,밥/먹을 식,食,밥/먹을 식,9,71,식
息,쉴 식,心,마음 심,10,41,식
植,심을 식,木,나무 목,12,70,식
飾,꾸밀 식,食,밥/먹을 식,14,31,식
識,알 식,言,말씀 언,19,51,식
申,납 신,田,밭 전,5,41,신
臣,신하 신,臣,신하 신,6,51,신
身,몸 신,身,몸 신,7,61,신
辛,매울 신,辛,매울 신,7,30,신
伸,펼 신,人,사람 인,7,30,신
信,믿을 신,人,사람 인,9,61,신
神,귀신 신,示,보일 시,10,61,신
