hanja,h,k
技,支,지탱할 지
器,㗊,뭇입 즙
器,犬,개 견
起,走,달릴 주
起,己,몸 기
機,木,나무 목
機,幾,몇 기
寄,宀,집 면
寄,奇,기특할 기
奇,大,클 대
奇,可,옳을 가
紀,糹,가는 실 멱
紀,己,몸 기
騎,馬,말 마
騎,奇,기특할 기
祈,礻,보일시변 시
祈,斤,근 근
畿,田,밭 전
畿,𢆶,작을 유
畿,戈,창 과
其,共,한가지 공
其,二,두 이
企,𠆢,사람 인
企,止,그칠 지
旣,旡,목멜 기
旣,皀,향기로울 급
忌,心,마음 심
忌,己,몸 기
棄,亠,돼지해머리 두
棄,厶,사사 사
棄,𣏼,삽 화
欺,欠,하품 흠
欺,其,그 기
飢,𩙿,밥식 식
飢,几,안석 궤
豈,豆,콩 두
豈,山,메 산
幾,𢆶,작을 유
幾,戍,수자리 수
緊,糸,가는 실 멱
