hanja,h,k
遍,辶,쉬엄쉬엄 갈 착
遍,扁,납작할 편
平,干,방패 간
平,八,여덟 팔
評,言,말씀 언
評,平,평평할 평
閉,門,문 문
閉,才,재주 재
肺,⺼,육달월 월
肺,巿,슬갑 불
廢,广,집 엄
廢,發,필 발
弊,廾,받들 공
弊,敝,해질 폐
幣,巾,수건 건
幣,敝,해질 폐
蔽,艹,초두머리 초
蔽,敝,해질 폐
砲,石,돌 석
砲,包,쌀 포
包,勹,쌀 포
包,巳,뱀 사
布,𠂇,왼 좌
布,巾,수건 건
胞,⺼,육달월 월
胞,包,쌀 포
捕,扌,재방변 수
捕,甫,클 보
浦,氵,삼수변 수
浦,甫,클 보
抱,扌,재방변 수
抱,包,쌀 포
飽,𩙿,밥식 식
飽,包,쌀 포
暴,日,날 일
暴,㳟,공손할 공
爆,火,불 화
爆,暴,사나울 폭
幅,巾,수건 건
幅,畐,가득할 복
表,龶,-
表,𧘇,옷의변 의
票,示,보일 시
票,覀,덮을 아
標,木,나무 목
標,票,표 표
漂,氵,삼수변 수
漂,票,표 표
品,口,입 구
品,吅,부르짖을 훤
風,𠘨,새 나는 모양 수
風,䖝,벌레 충
豊,豆,콩 두
豊,曲,굽을 곡
楓,木,나무 목
楓,風,바람 풍
疲,疒,병들어 기댈 녁(역)
疲,皮,가죽 피
避,辶,쉬엄쉬엄 갈 착
避,辟,피할 피
被,衤,옷의변 의
被,皮,가죽 피
皮,厂,기슭 엄
皮,丨,뚫을 곤
皮,又,또 우
彼,彳,조금 걸을 척
彼,皮,가죽 피
必,心,마음 심
必,丿,삐침 별
筆,𥫗,대죽 죽
筆,聿,붓 율
畢,田,밭 전
畢,龷,-
畢,十,열 십
匹,匚,상자 방
匹,儿,어진 사람 인
下,下,아래 하
夏,𦣻,머리 수
夏,夂,뒤쳐져 올 치
河,氵,삼수변 수
河,可,옳을 가
荷,艹,초두머리 초
荷,何,어찌 하
賀,貝,조개 패
賀,加,더할 가
何,亻,사람인변 인
何,可,옳을 가
學,子,아들 자
學,𦥯,배울 학
鶴,鳥,새 조
鶴,隺,고상할 각
韓,龺,-
韓,韋,가죽 위
漢,氵,삼수변 수
漢,廿,스물 입
漢,口,입 구
漢,夫,지아비 부
寒,𡨄,틈 하
寒,⺀,얼음 빙
限,阝,좌부변 부
限,艮,괘 이름 간
閑,門,문 문
閑,木,나무 목
恨,忄,심방변 심
恨,艮,괘 이름 간
汗,氵,삼수변 수
汗,干,방패 간
旱,日,날 일
旱,干,방패 간
割,刂,선칼도방 도
割,害,해할 해
含,口,입 구
含,今,이제 금
陷,阝,좌부변 부
陷,臽,함정 함
咸,口,입 구
咸,戌,개 술
合,口,입 구
合,亼,모일 집
航,舟,배 주
航,亢,높을 항
港,氵,삼수변 수
港,巷,거리 항
抗,扌,재방변 수
抗,亢,높을 항
恒,忄,심방변 심
恒,亘,뻗칠 긍
項,頁,머리 혈
項,工,장인 공
巷,巳,뱀 사
巷,共,한가지 공
海,氵,삼수변 수
海,每,매양 매
害,宀,집 면
害,丰,예쁠 봉
害,口,입 구
解,角,뿔 각
解,刀,칼 도
解,牛,소 우
亥,亠,돼지해머리 두
亥,𠂈,다할 진
亥,人,사람 인
奚,爫,손톱조 조
奚,𡗞,짐승 발자국 혜
該,言,말씀 언
該,亥,돼지 해
核,木,나무 목
核,亥,돼지 해
幸,土,흙 토
幸,𢆉,찌를 임
行,彳,조금 걸을 척
行,亍,자축거릴 촉
向,丿,삐침 별
向,冋,들 경
鄕,乡,시골 향
鄕,皀,향기로울 급
鄕,⻏,우부방 읍
香,禾,벼 화
香,日,날 일
響,鄕,시골 향
響,音,소리 음
享,亨,형통할 형
享,一,한 일
許,言,말씀 언
許,午,낮 오
虛,虍,호피 무늬 호
虛,丱,쌍상투 관
虛,一,한 일
憲,心,마음 심
憲,宀,집 면
憲,罒,그물망 망
憲,丰,예쁠 봉
獻,犬,개 견
獻,鬳,솥 권
軒,車,수레 차
軒,干,방패 간
驗,馬,말 마
驗,僉,다 첨
險,阝,좌부변 부
險,僉,다 첨
革,廿,스물 입
革,𠀐,-
現,王,임금 왕
現,見,볼 견
賢,貝,조개 패
賢,臤,어질 현
顯,頁,머리 혈
顯,㬎,드러날 현
懸,心,마음 심
懸,縣,매달 현
玄,亠,돼지해머리 두
玄,幺,작을 요
絃,糹,가는 실 멱
絃,玄,검을 현
縣,系,맬 계
縣,県,매달 현
血,丿,삐침 별
血,皿,그릇 명
穴,宀,집 면
穴,八,여덟 팔
嫌,女,여자 녀(여)
嫌,兼,겸할 겸
協,十,열 십
協,劦,합할 협
脅,⺼,육달월 월
脅,劦,합할 협
兄,儿,어진 사람 인
兄,口,입 구
形,彡,터럭 삼
形,开,열 개
刑,刂,선칼도방 도
刑,开,열 개
衡,行,다닐 행
衡,𩵋,물고기 어
亨,亠,돼지해머리 두
亨,口,입 구
亨,了,마칠 료(요)
螢,虫,벌레 훼
螢,𤇾,등불 형
惠,叀,삼갈 전
惠,心,마음 심
慧,心,마음 심
慧,彗,살별 혜
兮,八,여덟 팔
兮,丂,공교할 교
號,虎,범 호
號,号,이름 호
湖,氵,삼수변 수
湖,胡,되 호
好,女,여자 녀(여)
好,子,아들 자
戶,丿,삐침 별
戶,尸,주검 시
護,言,말씀 언
護,蒦,자 확
呼,口,입 구
呼,乎,어조사 호
浩,氵,삼수변 수
浩,告,고할 고
豪,豕,돼지 시
豪,亠,돼지해머리 두
豪,口,입 구
豪,冖,덮을 멱
胡,古,옛 고
胡,⺼,육달월 월
虎,虍,호피 무늬 호
虎,儿,어진 사람 인
乎,乊,구결자 호
乎,一,한 일
乎,亅,갈고리 궐
互,一,한 일
互,彑,돼지 머리 계
毫,毛,터럭 모
毫,冖,덮을 멱
毫,亠,돼지해머리 두
毫,口,입 구
或,戓,땅 이름 가
或,一,한 일
惑,心,마음 심
惑,或,혹 혹
婚,女,여자 녀(여)
婚,昏,어두울 혼
混,氵,삼수변 수
混,昆,맏 곤
魂,鬼,귀신 귀
魂,云,이를 운
昏,日,날 일
昏,氏,각시 씨
忽,心,마음 심
忽,勿,말 물
紅,糹,가는 실 멱
紅,工,장인 공
洪,氵,삼수변 수
洪,共,한가지 공
鴻,鳥,새 조
鴻,江,강 강
弘,弓,활 궁
弘,厶,사사 사
火,火,불 화
話,言,말씀 언
話,舌,혀 설
花,艹,초두머리 초
花,化,될 화
和,口,입 구
和,禾,벼 화
畫,田,밭 전
畫,一,한 일
畫,聿,붓 율
化,匕,비수 비
化,亻,사람인변 인
貨,貝,조개 패
貨,化,될 화
華,艹,초두머리 초
華,𠀆,-
華,工,장인 공
華,丨,뚫을 곤
禍,示,보일 시
禍,咼,입 비뚤어질 괘
禾,丿,삐침 별
禾,木,나무 목
確,石,돌 석
確,隺,고상할 각
穫,禾,벼 화
穫,蒦,자 확
擴,扌,재방변 수
擴,廣,넓을 광
患,心,마음 심
患,串,곶 곶
歡,欠,하품 흠
歡,雚,황새 관
環,王,임금 왕
環,睘,놀라서 볼 경
還,辶,쉬엄쉬엄 갈 착
還,睘,놀라서 볼 경
換,扌,재방변 수
換,奐,빛날 환
丸,九,아홉 구
丸,丶,점 주
活,氵,삼수변 수
活,舌,혀 설
黃,廿,스물 입
黃,一,한 일
黃,由,말미암을 유
黃,八,여덟 팔
況,氵,삼수변 수
況,兄,형 형
皇,白,흰 백
皇,王,임금 왕
荒,艹,초두머리 초
荒,巟,물 넓을 황
會,亼,모일 집
會,囗,나라 국
會,⺌,작을 소
會,曰,가로 왈
回,囗,나라 국
回,口,입 구
灰,火,불 화
灰,𠂇,왼 좌
懷,忄,심방변 심
懷,褱,품을 회
悔,忄,심방변 심
悔,每,매양 매
獲,犭,개사슴록변 견
獲,蒦,자 확
劃,刂,선칼도방 도
劃,畫,그림 화
橫,木,나무 목
橫,黃,누를 황
孝,子,아들 자
孝,耂,늙을로엄 로(노)
效,攵,칠 복
效,交,사귈 교
曉,日,날 일
曉,堯,요임금 요
後,彳,조금 걸을 척
後,幺,작을 요
後,夂,뒤쳐져 올 치
厚,厂,기슭 엄
厚,㫗,두터울 후
候,侯,제후 후
候,丨,뚫을 곤
侯,亻,사람인변 인
侯,矢,화살 시
侯,𠃍,-
侯,一,한 일
訓,言,말씀 언
訓,川,내 천
毁,殳,몽둥이 수
毁,臼,절구 구
毁,工,장인 공
揮,扌,재방변 수
揮,軍,군사 군
輝,光,빛 광
輝,軍,군사 군
休,亻,사람인변 인
休,木,나무 목
携,扌,재방변 수
携,隽,살찐 고기 전
凶,凵,입 벌릴 감
凶,㐅,다섯 오
胸,⺼,육달월 월
胸,匈,오랑캐 흉
黑,四,넉 사
黑,土,흙 토
黑,灬,연화발 화
吸,口,입 구
吸,及,미칠 급
興,𦥑,깍지 낄 국
興,同,한가지 동
興,一,한 일
興,八,여덟 팔
希,㐅,다섯 오
希,布,베 포
喜,口,입 구
喜,壴,악기 이름 주
稀,禾,벼 화
稀,希,바랄 희
戲,戈,창 과
戲,䖒,옛날 그릇 희
